position_id,client_id,fund_id,as_of,invested_eur,units,avg_cost,last_nav,market_value_eur,pnl_eur,n_txs,first_date,last_tx_date
C0001_IE00BD0NCN62_2026-01-01,C0001,IE00BD0NCN62,2026-01-01,2843.94,31.14405951,91.31564878646739,89.26728788062395,2780.1457260504544,-63.79427394954564,4,2023-03-21,2025-08-26
C0001_LU0303706948_2026-01-01,C0001,LU0303706948,2026-01-01,3118.32,36.73788911,84.88021700602276,108.40888316297372,3982.7135281802744,864.3935281802742,8,2023-05-29,2025-12-04
C0001_LU0996175948_2026-01-01,C0001,LU0996175948,2026-01-01,1810.8999999999999,17.74703949,102.03955431667325,110.93442911844026,1968.7576943655652,157.8576943655653,5,2023-07-25,2024-03-03
C0002_ES0172242002_2026-01-01,C0002,ES0172242002,2026-01-01,230.54,2.02273353,113.97447888254464,120.57998917303662,243.90118714733813,13.361187147338143,1,2024-10-30,2024-10-30
C0002_IE00BD0NCN62_2026-01-01,C0002,IE00BD0NCN62,2026-01-01,2176.0,22.949587700000002,94.81651820699157,89.26728788062395,2048.6474519575268,-127.35254804247325,5,2023-08-29,2025-08-06
C0002_LU0252964944_2026-01-01,C0002,LU0252964944,2026-01-01,6321.97,56.841451140000004,111.22112249437549,158.79102624545905,9025.91235980172,2703.9423598017192,14,2023-01-05,2025-11-24
C0003_ES0110119031_2026-01-01,C0003,ES0110119031,2026-01-01,1839.85,19.66849456,93.54300067996662,78.79464380228688,1549.7720229824172,-290.0779770175827,2,2023-11-03,2025-09-01
C0003_ES0172242002_2026-01-01,C0003,ES0172242002,2026-01-01,2242.86,20.79029763,107.88012946787237,120.57998917303662,2506.893863129609,264.033863129609,3,2023-02-01,2024-02-29
C0003_IE00BD0NCN62_2026-01-01,C0003,IE00BD0NCN62,2026-01-01,3948.49,43.56120194,90.64235659609534,89.26728788062395,3888.5903540039744,-59.899645996025356,4,2024-05-04,2025-12-04
C0003_IE00BFPM9N11_2026-01-01,C0003,IE00BFPM9N11,2026-01-01,2203.14,15.159788939999999,145.32788079831934,152.0563449742177,2305.14209679697,102.00209679696991,2,2025-02-01,2025-10-24
C0003_IE00BYX5M476_2026-01-01,C0003,IE00BYX5M476,2026-01-01,23468.07,212.48203368,110.44731450256702,111.60177190709119,23713.37145711023,245.3014571102285,20,2023-01-09,2025-12-02
C0003_LU2349459045_2026-01-01,C0003,LU2349459045,2026-01-01,628.38,6.99883628,89.78349755025275,87.56743885826684,612.8701680279197,-15.509831972080292,1,2023-09-28,2023-09-28
C0004_ES0172242002_2026-01-01,C0004,ES0172242002,2026-01-01,6457.9,56.2873455,114.73093894612599,120.57998917303662,6787.127510968971,329.2275109689717,9,2023-09-01,2025-11-29
C0004_IE00BFPM9N11_2026-01-01,C0004,IE00BFPM9N11,2026-01-01,603.51,6.2675168,96.29172433969383,152.0563449742177,953.015696672505,349.505696672505,1,2023-12-14,2023-12-14
C0004_LU0996175948_2026-01-01,C0004,LU0996175948,2026-01-01,4369.59,37.41268614,116.79434039161991,110.93442911844026,4150.354978728282,-219.23502127171832,4,2023-05-27,2025-03-15
C0004_LU2349459045_2026-01-01,C0004,LU2349459045,2026-01-01,13597.49,137.72285637,98.73081606345427,87.56743885826684,12060.03780456584,-1537.4521954341599,11,2023-08-07,2025-12-20
C0005_ES0110119031_2026-01-01,C0005,ES0110119031,2026-01-01,1371.62,12.87381007,106.54343916384964,78.79464380228688,1014.3872788439439,-357.23272115605596,2,2024-06-22,2024-07-26
C0005_IE00BYX5M476_2026-01-01,C0005,IE00BYX5M476,2026-01-01,1598.01,14.56595387,109.70857207582246,111.60177190709119,1625.5862614089522,27.576261408952178,4,2023-09-26,2025-03-29
C0005_LU0252964944_2026-01-01,C0005,LU0252964944,2026-01-01,2371.19,18.63298386,127.25766403363374,158.79102624545905,2958.7506291444747,587.5606291444747,7,2023-06-08,2025-12-21
C0005_LU0996175948_2026-01-01,C0005,LU0996175948,2026-01-01,214.11,2.03758052,105.08050989808245,110.93442911844026,226.03783176905466,11.927831769054649,1,2023-04-24,2023-04-24
C0005_LU2349459045_2026-01-01,C0005,LU2349459045,2026-01-01,147.78,1.49161339,99.07392960584781,87.56743885826684,130.61676432899714,-17.163235671002866,2,2024-03-21,2024-10-28
C0006_IE00BD0NCN62_2026-01-01,C0006,IE00BD0NCN62,2026-01-01,3164.37,32.96311912,95.99728680044886,89.26728788062395,2942.52824392834,-221.8417560716598,4,2023-02-01,2025-06-28
C0006_IE00BFPM9N11_2026-01-01,C0006,IE00BFPM9N11,2026-01-01,11572.15,79.90499577,144.82386099249024,152.0563449742177,12150.061601966525,577.9116019665253,6,2024-01-16,2025-09-19
